comment,language,sentiment
thanks you seller,English,positive
quality nice,Mixed/Other,positive
good quality,Mixed/Other,positive
zitto metal disc brake pad for replacement for shimano deore brake pads assembled and usable i havent tried the heavy test there should be no problem very cheap price well packaged fast delivery wait a bit from abroad,English,positive
suitability okay,Filipino,positive
fast delivery and fast wait a long time good product on the cover the gold is very beautiful i dont know how long it will last i will try it thank you very much,English,positive
malakas kapit ng brake pads pero maingay lang pag nabasa ng tubig pero okay na rin,Filipino,positive
will update review once makabit na sa bike initial review is makapal ang pads at maayos na nakapackage may sarili pang pouch,Filipino,positive
true to the description item as described fast delivery well packed product quality the sensation is that the goods are quite ok but the quality must be experienced to evaluate dc,English,positive
i use this material brake pads for my tektro spyre mechanical brakes works well for me hopefully this pad material work for my maguras too,English,positive
received the product exactly as ordered good quality product the store ships quickly on time great value for money,English,positive
usage good the shop prepares the product and ships quickly the material of the product is quite good work but there is no engraving or lock as for the use i havent tried it yet please review before using it ill report more after using it,English,positive
usage would be good from the outside it looks very good compared to the items in our house but much cheaper shipping from china is considered fast you dont have to wait very long,English,positive
usage good very fast delivery not as long as you thought not expensive easy to order and change yourself the shop ships quickly i recommend this shop who is looking for brake pads good quality affordable,English,positive
item arrived safely product well packed arrived from china in quick time my second time buying zitto brake pads from this seller previously i bought their black plated brake pads they are ok but i found the pads wore out quicker than original sram pads zittos are much cheaper than sram though so now i will be trying out zittos brassbronzecopper or whatever plated brake pads maybe gold hoping they will be good with improved lifespan,English,positive
quality ok,English,positive
all goods,English,positive
good,English,positive
good quality dre,English,positive
thank you very much,English,positive
100,Mixed/Other,positive
good,English,positive
ganda na product,Mixed/Other,positive
looks premium,English,positive
good,English,positive
quality good quality highly recommended,English,positive
nice ah,Mixed/Other,positive
quality good,English,positive
sharp product sharp product,English,positive
item is exactly as described in the ad comes with complete accessories the product looks sharp and solid thanks shop,English,positive
item received quality is also very good i am very satisfied the only embarrassing thing is that i sent one less bottle cage only the water bottle was originally going to be packed with others and turned it to be a bit dragged the official is very sincere to resend and gave a coupon for the price but after all it takes a long time to cross sea hope to check more carefully next time,English,positive
its been a long time since i got a pos seller it deserves the best like this,English,positive
suitable forbike sports its very good considering that i matched the color of my bike with a combination of black and red colors the tea is the best,English,positive
true to description true to the description in the photo product quality pc plastic plastic fast delivery comes with free hexagons and screws to fix,English,positive
item well received nice protective packaging with bubble wrap good quality product and very fast delivery thank you,English,positive
condition is totally fine good and cheap,English,positive
already received the itemvery best quality and fast delivery from seller thanks seller,English,positive
its beautiful i really like it i will definitely support it again,English,positive
delivery was super fast the product looks great will definitely recommend buy again,English,positive
good product quality true to description beautiful colors rockbos products are worth the money,English,positive
all items are in good condition and safe top 1010 cheap stuff if you are in a stale shop you will have to charge additionally if this is something wrong so you all i suggested to get it one and install it yourself thank you,English,positive
suitability maganda ang items walang damage thank u seller,Filipino,positive
the product is exactly as ordered the delivery is fast the store is good the service is good the service is good the quality of the product is considered to be considered beautiful i like,English,positive
very fast delivery from the seller the product come with good packaging,English,positive
item arrived in good condition and fully functioningnice thank you,English,positive
easy to install and good happy with my purchase recommended,English,positive
delivery fast quality good function very well brand popular,English,positive
item received in good condition fast delivery of fast delivery there is no problem with the goods thank you seller and shoppe,English,positive
the delivery speed is satisfactory however i am unable to comment on the quality of the product as i have just received it,English,positive
items received in good condition berbaloi waiting with sea shipping delivery seller is trustworthy because its been a long time and often buy this jenama,English,positive
received the product as ordered repeat order for the 2nd time and put it in another car the water cylinder is soft to squeeze easy to drink and cheap,English,positive
usage i havent tried it yet but it looks like it works well shipping is considered very fast wait for the product not more than 7 days cheap and good,English,positive
received products in good condition very2 good quality thank you saler,English,positive
usage works well highly recommend fast delivery well packed no damage,English,positive
usage good the bottle is pp it should be food grade no 5,English,positive
delivered on time the right model the quality is ok i dont know if its durable to try it out,English,positive
ok everyone the price is ok but a lot of money very beautiful with more than 1 month sd still no signs of rust,English,positive
naging mamahalin tignan bike ko hahaha,Filipino,positive
the item is legit well packed and bubble wrapped arrived earlier than expected the premium feel is there served its purpose so happy and grateful thanks seller and rider god bless us,English,positive
i really love this part of shopee before purchasing an item you get to see feedback from previous buyers you become aware if the product is authentic if the seller is accommodating or if the shop deserves your purchase,English,positive
love the color its very eye catching,English,positive
good product cheap price even though its overseas but very fast delivery good plastic smell not as bad as other types,English,positive
legit and original rockbros product maraming salamat seller very accomodating at mabait sa uulitin order ulit ako thanks din sa delivery rider,English,positive
the pass is very sturdy and beautiful attached to the back very convenient to bend water everyone,English,positive
true to the description shhh product quality the picture is for illustration purposes the product is good to use,English,positive
items are wellpacked and delivered on time thank you seller for the smooth transaction,English,positive
the quality of the product is excellent nothing to say if the baby is mounted on the car,English,positive
true to description not true to description product quality smaller than the picture of the shop the water frame is small and short it is very difficult to put the water bottle in holding the bottle in the hand is not finished running while taking the water bottle is definitely not possible and it will definitely fall dead in short do not buy this type please compare 2 pictures shop pictures and actual pictures,English,positive
good product good product right product type fast delivery products for fast delivery product,English,positive
nice water bottle and price super fast delivery international order has been received in 2 days,English,positive
fast international delivery the smell of plastic is a bit strong must be washed many times to get rid of the smell model looks nice thank shop,English,positive
true to the description ok product quality ok fast shipping carefully packaged products reasonable product prices,English,positive
well packaged fast delivery good quality product 5 stars,English,positive
true to the description dung mo tat product quality time will tell for durability product is exactly as described,English,positive
suitable for drink drink really good real pic already,English,positive
usage good anyone interested can order now beautiful strong ordered from china but dont wait long if anyone is interested get it the price is not very expensive worth the price,English,positive
true to description true to description product quality good quality for sure plastic bottles should definitely buy voltage stabilizer prices packed firmly,English,positive
malaki pala siya pero thats good kasi need ko yung malaki,Filipino,positive
good value for money my daughter like it so much cant wait to use it she said,English,positive
inexpensive and practical fast arrival overseas fast it has been installed on the car there is no problem i will repurchase things if i have the opportunity,English,positive
very good quality fast shipping,English,positive
ohsemm good quality fast shipping too,English,positive
performance perfect,English,positive
beautiful material looks good great value,English,positive
usage good,English,positive
get fast good price,English,positive
very nice product nice to use fast delivery,English,positive
usage good beautiful product on the cover,English,positive
good product worth buying,English,positive
true to the description the product is ok,English,positive
very value for money plastic made out of pp5 and its a bit too soft and thin but ok la lightweight for cycling use,English,positive
usage good product on cover shipped from china,English,positive
product quality ok true to the description will support the shop,English,positive
received the goods need time to evaluate the product is good or not,English,positive
product quality good product i have supported to buy many times,English,positive
tnxs seller ang ganda,Mixed/Other,positive
fast delivery and good quality thanks seller and shoppee,English,positive
thanks seller and shoppee,English,positive
good and high quality,English,positive
well packed received in good condition super fast delivery,English,positive
pretty thin material get scratches easily from the handle it has nice cap though and itll be enough to keep the water from leaking,English,positive
oks nmn sya gsto ng ank ko tubigan nya dw sa school,Filipino,positive
fast delivery and good packaging,English,positive
fast until steady mix up want mampoi,English,positive
well its special its too loaded it can hold a lot of water,English,positive
received in good order thank you seller,English,positive
its too ok,English,positive
thanks ya,English,positive
verry good,Mixed/Other,positive
excellent product quality and value for money very fast working seller and fast delivery service thank you definitely very recommended shop seller satisfied with this purchase thank you,English,positive
the goods have arrived thank you,English,positive
fast delivery barang ok,Mixed/Other,positive
suitability good,English,positive
true to the description nice product cheap,English,positive
good quality beautiful cool 5 no but,English,positive
item exactly as described worth buying,English,positive
exactly the model as selected sp ok,English,positive
true to the description true product quality ok,English,positive
works well,Mixed/Other,positive
low smell good easy to use,English,positive
item is solid and level with its price,English,positive
good quality product of good quality,English,positive
good quality super nagustuhan ng anak ko,Filipino,positive
good good material should buy,English,positive
sp as described very ok fast delivery,English,positive
good quality product thank you seller,English,positive
good quality and valuable products,English,positive
product quality good true to description true good product quality will continue to support the shop thanks,English,positive
product quality quality product unrelated images very reputable shop thank you store,English,positive
received in good condition,English,positive
quality 1010,Mixed/Other,positive
super legit talaga sya maganda ok na ok tnz seller,Filipino,positive
salamat sa seller legit ltwoo product salamat delivery service salamat shopee as always,English,positive
quality sobrang gandaaa bait pa ng seller biliss mag reply bilis din dumating ng order sakto lang sa 1week overseas ehhh thank you seller,Filipino,positive
di ko pa nakabit e update ko nlang kung goods ba shifting nya so far maganda naman sana magtagal,Filipino,positive
maganda sya pero diko pa na install legit naman sya ltwoo thank yousa uulitin recommended ko tong shop na to,Filipino,positive
good naman at rd lang pala sira sa bike ko kaya may pitik thanks at na ayos na din bike ko kaya yeah mag 40t kung my goatlink aaah goods naman at smooth din naka 8by3,Filipino,positive
item received in good condition well packed and deliver in right time sure we are order again thanks to seller and shopee,English,positive
quality good,English,positive
perfect na perfect lodi,Filipino,positive
suitable for mtb quality good,English,positive
good,English,positive
good,English,positive
good,English,positive
beautiful vase,English,positive
delicious beautiful 5 stars,English,positive
good quality,English,positive
goods are fine,English,positive
thank you shop,English,positive
ok good good,English,positive
nice water bottle,English,positive
quality decent,English,positive
the item is legit i recommend this shop thank you seller 33,English,positive
exactly as posted buttery smooth shifting,English,positive
good quality suitable for the price fast delivery,English,positive
looks good package well packed next month is the shifter for this item thank you,English,positive
good and nice and no missing or damage in product and packaging is so much good thick double bubble wrap and the performance of the rear derailleur is a little bit delay beacuse were using goatlink to accommodate 42t in cogs will order next time thanks seller and delivery team and call center agent thanks,English,positive
very nice and compatible aa a5 rd na elite basta same lagi ng pulling ratio kung 21 rd e dapat 21 din sa shifter,Mixed/Other,positive
im actually using an 7 speed cogs thread type and im using a ltwoo a3 8 speed compatible naman siya bali inadjust ko na lang yung l limit screw para hindi siya tumalon sa spokes at saka maganda yung spring niya matigas na test ko pa siya ng baguio 5 days before maganda naman hindi naman siya pumalya will buy again soon thank you very much ltwoo,Filipino,positive
quality better,English,positive
orig talaga ganda pa packaging hindi ko palang nailalagay,Filipino,positive
maganda tlga ang ltwo,Filipino,positive
napaka bilis lng dumating salmat kay seller at kay kuya rider,Filipino,positive
installed and mtb is now running in good conditionthank you seller at kay rider,English,positive
nice,English,positive
quality oke oke,Mixed/Other,positive
authentic ltwoo as always,English,positive
gnda podagdag porma salamt po,Filipino,positive
good performance,English,positive
legit,English,positive
legit yan mga boss kaya nga mag 42t,Filipino,positive
goods lahat liget na legit salamat shopee salamat seller,Filipino,positive
baka ltwoo yarnnn,English,positive
forgot to take pictures with videos but btw nice stuff looks smart,English,positive
masmalaki pa ang sainyo kongtra sa isang longcage ko na ltwoo din hahaha anyare,Filipino,positive
kahit n stock nakarating sakin ng walang damage,Filipino,positive
nice packaging no damage at nagustohan ko thank you seller,Filipino,positive
efficacy good the shipping is fast the packaging is rigorous and true and the price is very high a good seller worth recommending and repurchasing,English,positive
true to description 45 goods,English,positive
solid,English,positive
1010,Mixed/Other,positive
wonderful,English,positive
so beautiful and so convenient,English,positive
very good,English,positive
thank you boss,English,positive
thank you boss,English,positive
best interesting kebabom,Mixed/Other,positive
sobrang solid kagabi ibang aking ngiti,Filipino,positive
nice fast delivery,English,positive
quality good,English,positive
fast shipment good quality,English,positive
performance good,English,positive
suitability good,English,positive
suitability good,English,positive
suitability 1010,English,positive
quality good,Mixed/Other,positive
good,Mixed/Other,positive
good job on the cover,English,positive
available complete equipment,Mixed/Other,positive
as advertised,English,positive
thank you seller,English,positive
good product,English,positive
the best,English,positive
its good,English,positive
super fast delivery satisfied product,English,positive
nice,Mixed/Other,positive
good quality,Mixed/Other,positive
according to the price this product is really good value for money if needed i should buy it again very good,English,positive
good,English,positive
nice,English,positive
true to the description nice product right to buy,English,positive
fast delivery n nice,English,positive
efficacy good the seller shipped quickly received the goods correctly and with good quality if you still need will repurchase,English,positive
good,English,positive
sulit na sulit,Filipino,positive
the package is in good condition the cover is good the quantity is complete i recommend this shop,English,positive
great delivery n packing thank you seller,Mixed/Other,positive
very ok,English,positive
item as shown sg vss set out very period is ok,English,positive
efficacy ok when i actually received the goods i felt that the quality was very good the price was also very good and costeffective a good seller worth repurchasing again and again,English,positive
good product,English,positive
the goods were sent quickly the goods were received quickly the packaging was complete without any damage a good seller have the opportunity to buy other products again,English,positive
good for the price for the price,English,positive
good,English,positive
good,English,positive
good,English,positive
received,Mixed/Other,positive
i think this product is very good the packaging is complete i like it very much the price is very reasonable the delivery speed is fast the seller has all questions and answers and the push push push push push push big push push push push push push push,English,positive
this is the best performance is comptele set for scooter trust the seller po,English,positive
looks and feels like the original brand im satisfied with my purchase,English,positive
good finished product well finished product too bad i bought the wrong size will buy again right,English,positive
good quality beautiful form one two three four five six seven eight nine ten,English,positive
godbless you maam sir,Mixed/Other,positive
ganda ng ztto iva talaga quality,Filipino,positive
veryygoood and good again because its good,English,positive
good product quality good value for money fast delivery and excellent service by seller,English,positive
walang pic hahahaha tinatamad lang hehe thank you seller,Filipino,positive
very good very nice,English,positive
photo not related pero sulit talaga at mabilis oang dumating god bless seller,Filipino,positive
good quality foreign goods cheap price fast delivery happy delivery staff,English,positive
correct item received correct size correct color packaging is ok no damage to the item quality is great will order again,English,positive
items ordered received with good packaging and quality,English,positive
true to description good product quality good qwertyuiopasdfghjklzxcvbnm1234567890,English,positive
thank you seller satisfied customer heremabait din si rider salamat shopee,English,positive
item exactly as described good quality good quality over time will evaluate more 5 stars,English,positive
product quality is excellent product packaging is very nice and secure,English,positive
the product is as described by the store well packed very fast delivery and the delivery staff is ok,English,positive
true to description true product quality medium beautiful beautiful color fit with yen size carefully closedgood,English,positive
received my order safe and sound no scratches and delivered it fast will order agaid soon,English,positive
ok sya bagay sa bike ko thanks seller,Filipino,positive
im impressed in packaging and the item thanks seller i will order again in this shop thank you very much,English,positive
the product corresponds to the beautiful description ztto shop has a lot of beautiful and quality accessories,English,positive
ok everything is ok the price is ok the goods are ok the service is fast thank you all,English,positive
maganda sya pang mga carbon seatpost,Filipino,positive
uki nman yung mga itemnka balot nman ng maayos legit shoppetama2 lng ang pg dating,Filipino,positive
nice right size and color thank you shoppee sa seller at rider,English,positive
legitnapaka ganda ng item dito maayos pati ang packaging ng ztto item for sureoorder pa ulet ako ng item dito thank you seller,Filipino,positive
good sya maganda tingnan tsaka sakto sa kulay,Filipino,positive
product exactly as advertised,English,positive
good stuff cheap price,English,positive
ok naman ung item ikakabit ko na ito agad salamat shopee,Filipino,positive
ganda bagay sa frame ko thank shopeeseller,Filipino,positive
awesome product,English,positive
second purchase of this product kasi yung na una mali yung dimension ko ito naman suoat na sukat kagaya ng naunang purchase ko same maganda,Mixed/Other,positive
quality product cheap pon prices until everything is enough thank you seller,English,positive
quality good quality subrang ganda,Filipino,positive
cheap and 5star thank you seller,English,positive
nice po thanks,Mixed/Other,positive
suitability fits perfectly,English,positive
usage ok the material looks normal the work may not be very good but its ok the price is not expensive compared to the price it is considered good,English,positive
good working quality okay suitable for very much value waiting a little bit longer but it s worth waiting very much the most,English,positive
product quality ok true to the description ok quality product should buy,English,positive
item is very standard another promotion for brake cheeks thank you store very much,English,positive
product quality chat luon true to description true delicious,English,positive
product quality good product quality good product true to description true to photo,English,positive
quality goods na goods wala kang masasabi dami pang stocker,Mixed/Other,positive
good product good product fast delivery and fast delivery should buy it wish the shop a good sale,English,positive
true to description true product quality excellent very good no doubt about the quality,English,positive
saktong sakto akala ko malaki no issue din may katagalan din dumating pero mura salamat seller sa uulitin,Filipino,positive
super bilis nang shipping maganda din yung item tama yung mga variation na si nend si seller tapos madali pong kausap,Filipino,positive
highly recommended products and seller thank you so much,English,positive
it looks feels very good didnt expect much but i recommend to buy from this shop because it arrived fast at my local hub and wasnt a scam hope i could buy again thank you seller,English,positive
product quality aluminum material is aluminum true to the description standard product description the order received is very satisfied have bought many times in the shop,English,positive
received the goods the product is beautiful as described fast delivery packaging will definitely continue to support the shop to buy more,English,positive
received the goods the product is beautiful as described just as described fast delivery carefully packed continue to support the shop to buy a lot,English,positive
true to the description dug the product is so beautiful and amazing i couldnt have expected more thank you supplier manufacturer thank you seller thank you ecommerce platform thank you shipper for giving me the opportunity to use such a good product packaging is very nice indeed the seller sent a lot of thoughts and feelings while packing the box shows no signs of dents indicating that the shipping department has been lifted like an egg like a flower thank you very much for everything shipping time is very reasonable i placed an order with an excited attitude waiting to experience the product and i didnt have to wait for my neck it can be seen that the carrier does not mind the weather and long distances to deliver the product to me in the shortest time,English,positive
zittos products are beautiful standards can you just buy them at a cheap price will continue to support the shop next time,English,positive
true to description true product quality dc dc camonvida black toopre bearing bearing collar size 4141847495152mm bearing neck cup material bearing steel bearing packing toopre brand bag toopre cup bearing bearing bearing with sizes 4141847495152mm is an important spare part in the axis system of the bike designed and manufactured with high quality this bearing is reliable and has excellent performance toopre cup bearing bearing bearings are made of quality materials ensuring durability and accuracy in operation with advanced technology and quality production process they have high load and longlasting resistance helping to optimize the performance and durability of the shaft system available sizes including 4141847495152mm allows flexible selection and suitable for many different types of shafts and bearings on bicycles this ensures compatibility and widely usable for different applications,English,positive
salamat,Filipino,positive
legit thanks,English,positive
quality 1010,Mixed/Other,positive
good items,English,positive
very good and nice product ill give it a 5 star thank you,English,positive
love,English,positive
ztto ang aking tindahan maraming salamat sa lahat ingat,Filipino,positive
salamat po,Filipino,positive
legitmabilis dumating kahit sa china pa nanggalingsalamat sa seller,Filipino,positive
well packed not yet install hoping good performance thank you seller shopee,English,positive
nice,Mixed/Other,positive
true to the description delicious,English,positive
saktong sakto talaganagamit kothnks seller and mrrider,Filipino,positive
fast delivery,English,positive
good use of use,English,positive
the quality of the product is very good value for money the shop provides very good service very fast delivery the service provided by the carrier is very good,English,positive
the product is very cheap and affordable just dont go very rough with the allen wrench shipping no problem looking forward to avail a quad piston brake on this shop too maybe on christmas,English,positive
all in all goods naman tama sukat satisfied ako bili na kayo,Filipino,positive
goods na goods tas ambilis ng dating ang ganda pa tas mura kuha na kayo 5star ka sakin hahahaha,Filipino,positive
product quality true to the description item is as qc ok will support k,English,positive
item is nice and the quality is good excellent quality very accommodating seller well packed will order again thanks,English,positive
seller is accommodating nice and complete items as received nice quality too hope this will last forever,English,positive
napakaayos ng packaging at napakaganda ng item solid na solid,Filipino,positive
thanks po complete order to grow up ma ikaw ra adto ko sayo carcar dalikyatannako kuha unya balik kodayon kay trabaho i am the best to grow up and i will be a fully verified user of the best way to grow up and i will be a fully verified user of the list is too late to grow in pregnancy and i will be,Mixed/Other,positive
good packaging good product quality good value for money fast delivery excellent service by seller,English,positive
product quality aluminum ampoules true to description true to description good quality next time support the shop again,English,positive
good quality products and beautifully attached to the car beautiful bags right size will support the shop next time,English,positive
goods sa price need lang lagyan ng grease yung bolt,Filipino,positive
very very very mixed and very solid good size very fast post,English,positive
came within 5 days overseas the item is good and very nice does its job thank you,English,positive
thank you ztto and shoppee delivery,English,positive
